MovPrecio MovPasos MovTiempo MovIntPrecio MovIntPasos MovIntTiempo
1006.0350000000002 47 101 1005.4649999999998 53 151
861.4799999999999 42 23 859.5000000000001 46 73
880.9400000000002 52 21 879.7400000000001 58 199
961.1400000000002 42 32 960.0050000000002 47 89
1008.3700000000011 49 16 1008.0200000000011 54 138
1008.7149999999993 35 8 1007.3499999999992 39 53
950.2199999999997 42 24 949.6899999999998 44 118
1031.9 46 30 1030.8750000000005 47 104
831.7799999999999 48 9 830.995 52 66
1035.83 47 11 1033.4700000000005 51 77
940.3350000000004 46 17 938.4000000000001 51 86
1059.0450000000005 38 7 1057.885000000001 44 82
1192.2100000000007 43 15 1190.1950000000002 47 83
1033.115 42 18 1032.63 48 131
997.7199999999993 51 23 993.6099999999994 54 147
951.4599999999999 42 17 950.8549999999997 43 91
853.4899999999996 35 7 851.7649999999993 39 70
941.6649999999995 52 15 940.5949999999993 55 122
1000.0749999999999 47 11 999.5450000000004 52 105
873.0099999999999 32 8 869.4449999999998 40 56
843.7450000000001 46 11 842.5649999999998 51 130
1018.6700000000005 42 10 1018.1050000000004 45 89
908.275 44 9 906.865 45 114
1025.3499999999995 48 18 1023.9999999999989 55 138
917.9099999999993 49 15 916.5599999999995 53 105
