Precio Felicidad Relacion Ponderacion Pasos Tiempo
898.7100000000005 4 224.67750000000012 1 36 72
934.4700000000003 28 33.37392857142858 2 44 35
989.0300000000005 50 19.78060000000001 3 44 18
1026.245 62 16.552338709677418 4 46 45
1058.6850000000013 68 15.568897058823548 5 40 10
1056.8500000000013 66 16.012878787878808 6 42 17
1082.8350000000007 66 16.40659090909092 7 35 34
1081.8500000000006 68 15.909558823529421 8 42 6
1095.1600000000012 62 17.663870967741953 9 26 3
1095.350000000001 61 17.956557377049197 10 25 3
1085.3800000000008 59 18.396271186440693 11 33 4
1085.3800000000008 59 18.396271186440693 12 33 4
1085.3800000000008 59 18.396271186440693 13 33 17
1085.3800000000008 59 18.396271186440693 14 33 4
1085.3800000000008 59 18.396271186440693 15 33 4
1085.3800000000008 59 18.396271186440693 16 33 4
1085.3800000000008 59 18.396271186440693 17 33 4
1085.3800000000008 59 18.396271186440693 18 33 5
1085.3800000000008 59 18.396271186440693 19 33 4
1085.3800000000008 59 18.396271186440693 20 33 6
1085.3800000000008 59 18.396271186440693 21 33 6
1085.3800000000008 59 18.396271186440693 22 33 6
1085.3800000000008 59 18.396271186440693 23 33 6
1085.3800000000008 59 18.396271186440693 24 33 6
1085.3800000000008 59 18.396271186440693 25 33 7
935.8250000000003 19 49.253947368421066 1 42 7
967.2300000000002 37 26.141351351351357 2 44 8
997.4100000000007 49 20.355306122448994 3 42 7
1027.1150000000002 57 18.019561403508774 4 45 8
1040.5849999999998 60 17.34308333333333 5 43 8
1049.7599999999993 60 17.495999999999988 6 39 7
1063.8700000000001 62 17.159193548387098 7 41 7
1081.165 64 16.893203125 8 43 11
1079.5800000000002 61 17.69803278688525 9 42 6
1082.5800000000006 64 16.91531250000001 10 46 7
1082.9450000000006 64 16.92101562500001 11 45 7
1080.7899999999997 59 18.318474576271182 12 44 6
1079.8899999999999 57 18.945438596491226 13 42 5
1079.4700000000003 57 18.9380701754386 14 44 6
1080.2999999999997 61 17.709836065573764 15 49 7
1079.0049999999997 61 17.688606557377042 16 49 7
1079.0049999999997 61 17.688606557377042 17 49 10
1078.9399999999998 61 17.687540983606553 18 49 11
1080.36 61 17.710819672131144 19 49 11
1080.8799999999999 53 20.39396226415094 20 46 9
1080.8799999999999 53 20.39396226415094 21 46 9
1080.8799999999999 53 20.39396226415094 22 46 8
1080.8799999999999 53 20.39396226415094 23 46 9
1080.8799999999999 53 20.39396226415094 24 46 9
1080.8799999999999 53 20.39396226415094 25 46 7
953.8199999999997 11 86.71090909090907 1 38 11
978.1499999999995 26 37.62115384615383 2 37 11
1003.9350000000001 37 27.13337837837838 3 38 11
1048.3999999999994 52 20.16153846153845 4 45 13
1068.8149999999998 57 18.75114035087719 5 44 12
1077.9549999999997 57 18.91149122807017 6 41 10
1101.5249999999996 61 18.057786885245896 7 42 20
1145.9049999999995 67 17.10305970149253 8 46 11
1146.1849999999988 64 17.90914062499998 9 42 10
1145.844999999999 64 17.903828124999983 10 43 10
1147.695 64 17.932734375 11 39 9
1130.4449999999997 62 18.232983870967736 12 44 12
1163.1099999999994 58 20.053620689655162 13 38 8
1163.1099999999994 58 20.053620689655162 14 38 7
1163.1099999999994 58 20.053620689655162 15 38 7
1163.1099999999994 58 20.053620689655162 16 38 7
1163.1099999999994 58 20.053620689655162 17 38 6
1163.1099999999994 58 20.053620689655162 18 38 7
1163.1099999999994 58 20.053620689655162 19 38 19
1163.1099999999994 58 20.053620689655162 20 38 6
1163.1099999999994 58 20.053620689655162 21 38 6
1163.1099999999994 58 20.053620689655162 22 38 6
1163.1099999999994 58 20.053620689655162 23 38 6
1163.1099999999994 58 20.053620689655162 24 38 6
1163.1099999999994 58 20.053620689655162 25 38 6
938.9199999999997 18 52.162222222222205 1 51 18
975.24 39 25.006153846153847 2 48 17
1008.5099999999999 51 19.77470588235294 3 44 20
1069.0299999999993 65 16.446615384615374 4 41 15
1070.9150000000002 63 16.998650793650796 5 33 11
1069.7849999999999 60 17.829749999999997 6 31 10
1076.3199999999997 61 17.64459016393442 7 30 9
1076.3649999999996 62 17.360725806451605 8 34 9
1113.305 63 17.671507936507936 9 29 7
1113.305 63 17.671507936507936 10 29 7
1113.305 63 17.671507936507936 11 29 7
1113.305 63 17.671507936507936 12 29 7
1113.305 63 17.671507936507936 13 29 7
1113.305 63 17.671507936507936 14 29 7
1113.305 63 17.671507936507936 15 29 7
1113.305 63 17.671507936507936 16 29 7
1113.305 63 17.671507936507936 17 29 7
1113.305 63 17.671507936507936 18 29 7
1113.305 63 17.671507936507936 19 29 7
1113.305 63 17.671507936507936 20 29 7
1113.305 63 17.671507936507936 21 29 4
1113.305 63 17.671507936507936 22 29 4
1113.305 63 17.671507936507936 23 29 4
1113.305 63 17.671507936507936 24 29 5
1113.305 63 17.671507936507936 25 29 5
912.5849999999999 6 152.0975 1 44 12
943.3949999999998 26 36.28442307692307 2 44 12
967.6549999999999 36 26.87930555555555 3 43 12
1009.3349999999988 48 21.027812499999975 4 47 11
1075.8949999999988 63 17.077698412698393 5 50 11
1124.7699999999998 70 16.068142857142853 6 44 10
1125.1299999999994 71 15.846901408450696 7 52 10
1140.1349999999993 72 15.835208333333323 8 46 8
1140.2549999999997 72 15.836874999999996 9 51 9
1137.6999999999996 70 16.25285714285714 10 52 9
1140.3849999999998 70 16.291214285714283 11 50 8
1139.3149999999991 61 18.6772950819672 12 37 6
1139.2149999999997 62 18.37443548387096 13 43 7
1139.2149999999997 62 18.37443548387096 14 43 7
1139.2149999999997 62 18.37443548387096 15 43 7
