K LAMBDA PRECIO PASOS TIEMPO
50000 0.01 1010.471000000001 7005 1
5 0.1 987.7460000000003 7005 1
50 0.1 990.4360000000008 7005 1
500 0.1 988.8090000000002 7005 1
5000 0.1 990.5809999999999 7005 1
50000 0.1 989.9920000000009 7005 1

5 1.0E-4 932.6299999999999 7005 0
50 1.0E-4 941.8330000000002 7005 0
500 1.0E-4 948.2180000000001 7005 0
5000 1.0E-4 941.7270000000001 7005 0
50000 1.0E-4 942.8309999999998 7005 0
5 0.001 921.8470000000001 7005 1
50 0.001 947.4740000000002 7005 1
500 0.001 943.5409999999999 7005 1
5000 0.001 947.3950000000001 7005 0
50000 0.001 945.3880000000001 7005 0
5 0.01 904.8699999999999 7005 0
50 0.01 904.555 7005 0
500 0.01 906.5290000000001 7005 0
5000 0.01 908.125 7005 1
50000 0.01 917.9359999999999 7005 1
5 0.1 905.704 7005 1
50 0.1 905.6020000000002 7005 1
500 0.1 905.0349999999999 7005 1
5000 0.1 904.9759999999999 7005 1
50000 0.1 904.5929999999998 7005 1

5 1.0E-4 1003.5129999999983 7005 0
50 1.0E-4 1035.2759999999994 7005 1
500 1.0E-4 1038.722999999999 7005 0
5000 1.0E-4 1034.339999999999 7005 0
50000 1.0E-4 1039.8019999999992 7005 0
5 0.001 980.7179999999986 7005 2
50 0.001 1029.5589999999993 7005 1
500 0.001 1026.1879999999994 7005 0
5000 0.001 1039.1439999999996 7005 0
50000 0.001 1037.5819999999997 7005 0
5 0.01 952.9589999999995 7005 0
50 0.01 956.1819999999994 7005 1
500 0.01 958.4329999999994 7005 0
5000 0.01 961.3729999999996 7005 0
50000 0.01 973.8929999999989 7005 1
5 0.1 952.4249999999993 7005 1
50 0.1 956.6049999999984 7005 1
500 0.1 955.1919999999993 7005 1
5000 0.1 956.5769999999993 7005 1
50000 0.1 952.344999999999 7005 1

5 1.0E-4 1156.6319999999992 7005 0
50 1.0E-4 1182.086999999999 7005 1
500 1.0E-4 1181.1899999999994 7005 0
5000 1.0E-4 1181.7159999999992 7005 0
50000 1.0E-4 1177.0169999999991 7005 0
5 0.001 1133.8349999999998 7005 0
50 0.001 1161.8049999999992 7005 0
500 0.001 1178.077999999999 7005 0
5000 0.001 1181.1239999999991 7005 0
50000 0.001 1183.0489999999995 7005 0
5 0.01 1104.4379999999996 7005 0
50 0.01 1107.2439999999995 7005 0
500 0.01 1106.9739999999993 7005 0
5000 0.01 1119.2669999999991 7005 0
50000 0.01 1124.6019999999996 7005 1
5 0.1 1105.1089999999997 7005 1
50 0.1 1106.7679999999996 7005 1
500 0.1 1105.0409999999993 7005 1
5000 0.1 1104.551 7005 1
