MovPrecio MovPasos MovTiempo MovIntPrecio MovIntPasos MovIntTiempo
979.2999999999997 44 99 975.6700000000004 47 187
1059.8399999999986 39 20 1057.304999999999 46 89
1000.5599999999995 42 10 999.1999999999999 46 66
1020.1649999999989 43 16 1013.9499999999992 50 93
935.5150000000002 43 13 935.0250000000001 44 95
916.2549999999993 41 10 914.465 45 82
892.4949999999998 54 22 891.6749999999998 52 146
910.96 53 22 909.6599999999999 59 106
955.3849999999996 43 21 951.16 47 106
878.8849999999998 56 20 877.9249999999995 57 113
