MovPrecio MovTiempo MovIntPrecio MovIntTiempo
985.5170000000002 16 983.9785000000002 16
942.3100000000004 8 934.2995000000004 11
1048.090499999999 10 1044.132999999999 12
917.5965000000003 7 914.8375 10
999.3669999999989 7 997.6409999999989 10
1021.9725000000008 7 1017.5960000000011 11
1089.639 8 1086.2935000000002 11
936.5589999999996 6 934.4340000000002 8
1120.8385000000005 6 1117.3430000000003 8
1024.5049999999999 7 1021.5895000000006 9
1020.0260000000004 6 1015.4270000000008 9
1009.2950000000004 8 1004.0980000000011 11
955.7900000000011 7 953.8615000000005 9
1043.3559999999998 6 1035.4935000000005 9
1022.3740000000005 6 1017.5340000000012 9
937.3649999999994 6 931.5914999999998 9
994.4685000000009 6 991.469000000001 8
976.3245000000001 6 973.193 9
944.9145000000002 6 941.3574999999998 9
973.7004999999994 6 970.9014999999996 8
1007.9700000000005 6 1006.4190000000001 8
949.8665000000004 6 945.2425000000001 8
1030.7874999999995 6 1028.3224999999989 9
938.2725000000003 6 933.5919999999999 9
907.5295000000006 7 905.0465000000006 9
