Precio Felicidad Relacion Ponderacion Tiempo
1021.6709999999991 17 58.71672413793099 1 5
1048.0629999999994 32 31.95314024390242 2 2
1082.8059999999996 43 24.949447004608285 3 3
1102.1649999999995 51 21.35978682170542 4 1
1126.2699999999993 58 19.219624573378827 5 1
1147.9099999999994 64 17.714660493827154 6 1
1158.4450000000002 66 17.446460843373494 7 1
1177.6619999999994 68 17.11718023255813 8 1
1179.2999999999997 68 17.291788856304983 9 1
1184.8889999999997 69 17.12267341040462 10 1
1188.9339999999997 68 17.331399416909615 11 1
1191.2519999999997 67 17.77988059701492 12 1
1193.6309999999994 67 17.762366071428563 13 1
1189.2359999999994 65 18.184036697247695 14 1
1189.9249999999993 65 18.30653846153845 15 1
1196.0529999999997 62 19.16751602564102 16 1
1194.8959999999995 62 19.087795527156544 17 1
1200.7189999999996 62 19.11972929936305 18 1
1199.1229999999991 61 19.466282467532455 19 1
1201.3769999999993 58 20.50131399317405 20 2
1200.3529999999992 61 19.54972312703582 21 1
1199.107999999999 59 20.187003367003353 22 1
1202.358999999999 58 20.518071672354935 23 2
1193.297999999999 59 20.157060810810794 24 1
1200.4769999999994 59 20.074866220735775 25 5
1082.4820000000007 10 102.12094339622648 1 1
1106.1540000000007 24 45.708842975206636 2 1
1137.8480000000004 38 29.47792746113991 3 1
1166.0720000000008 47 24.497310924369767 4 1
1180.8270000000007 52 22.534866412213756 5 1
1209.3310000000008 57 20.995329861111127 6 1
1218.980000000001 60 20.31633333333335 7 1
1220.9400000000007 59 20.4170568561873 8 1
1224.5210000000009 60 20.206617161716185 9 1
1222.4510000000014 61 19.780760517799376 10 1
1220.991000000001 59 20.48642617449666 11 1
1227.1260000000009 60 20.38415282392028 12 1
1226.954000000002 59 20.517625418060234 13 1
1229.1320000000014 60 20.215986842105288 14 1
1224.1770000000008 59 20.74876271186442 15 2
1233.9810000000011 61 20.229196721311496 16 1
1228.5460000000019 60 20.34016556291394 17 1
1226.059000000001 60 20.434316666666685 18 1
1223.161000000001 58 21.016512027491427 19 1
1227.3180000000016 59 20.802000000000024 20 1
1229.4770000000012 59 20.698265993266013 21 1
1224.874000000001 58 20.831190476190493 22 3
1226.2360000000012 59 20.713445945945967 23 1
1228.4020000000012 58 21.106563573883182 24 1
1226.2680000000012 57 21.215709342560572 25 1
907.7399999999994 16 54.683132530120446 1 0
939.5539999999997 32 28.998580246913573 2 1
965.1340000000004 43 22.444976744186054 3 0
991.019 52 18.840665399239544 4 0
1014.608 59 17.196745762711863 5 1
1042.3179999999986 64 16.085154320987634 6 1
1061.5349999999992 67 15.84380597014924 7 2
1059.2829999999988 68 15.57769117647057 8 0
1066.2729999999988 67 15.867157738095221 9 0
1073.6989999999987 68 15.60609011627905 10 0
1077.4269999999985 68 15.705932944606394 11 0
1080.7459999999983 68 15.89332352941174 12 0
1082.2199999999987 68 15.91499999999998 13 0
1080.4419999999986 65 16.571196319018384 14 2
1085.7749999999978 66 16.35203313253009 15 2
1086.1019999999985 65 16.709261538461515 16 1
1087.6559999999986 63 17.209746835443013 17 1
1085.5109999999984 64 16.90827102803736 18 1
1087.0519999999985 63 17.25479365079363 19 0
1091.0939999999985 60 18.12448504983386 20 0
1089.3079999999984 60 18.09481727574748 21 1
1091.2059999999988 59 18.370471380471358 22 1
1089.1339999999984 63 17.12474842767293 23 0
1088.0009999999984 58 18.56656996587028 24 0
