Proporción Tiempo NumOfertas Coste
1.2 54 18 1002.7100000000004
1.4 62 22 948.8300000000002
1.5999999999999999 50 25 940.5900000000006
1.7999999999999998 87 31 934.8200000000008
1.9999999999999998 119 35 918.4600000000011
2.1999999999999997 169 39 935.2349999999999
2.4 230 43 938.1950000000002
2.6 313 44 939.7249999999995
2.8000000000000003 355 50 908.55
3.0000000000000004 437 53 895.675000000001
3.2000000000000006 682 61 901.7500000000002
3.400000000000001 599 62 901.1700000000002
3.600000000000001 814 66 909.3
3.800000000000001 813 67 889.8449999999987
4.000000000000001 1083 73 846.6000000000003
1.2 23 22 753.3099999999991
1.4 28 25 731.06
1.5999999999999999 83 28 710.965
1.7999999999999998 86 32 710.1200000000007
1.9999999999999998 111 34 710.5349999999997
2.1999999999999997 194 39 693.8149999999999
2.4 247 41 685.92
2.6 300 44 689.1800000000002
2.8000000000000003 435 48 688.6099999999992
3.0000000000000004 437 48 688.6099999999992
3.2000000000000006 509 50 687.8650000000001
3.400000000000001 607 54 683.1649999999998
3.600000000000001 709 58 681.0700000000003
3.800000000000001 908 60 669.3999999999993
4.000000000000001 1076 67 672.7200000000001
1.2 13 23 947.5150000000003
1.4 29 26 918.7150000000003
1.5999999999999999 76 29 911.57
1.7999999999999998 92 32 916.2399999999999
1.9999999999999998 182 36 887.2900000000014
2.1999999999999997 268 39 879.5749999999997
2.4 262 40 874.1649999999998
2.6 477 46 876.9450000000007
2.8000000000000003 475 49 848.6799999999988
3.0000000000000004 587 52 834.89
3.2000000000000006 768 56 832.9399999999991
3.400000000000001 822 58 832.18
3.600000000000001 971 63 822.295
3.800000000000001 1172 66 805.6649999999998
4.000000000000001 1294 68 810.9450000000002
1.2 11 25 1044.8249999999998
1.4 40 33 1009.3800000000003
1.5999999999999999 59 35 999.4399999999991
1.7999999999999998 118 38 1002.3099999999989
1.9999999999999998 131 40 999.030000000001
2.1999999999999997 366 45 1005.4399999999997
2.4 303 49 988.0899999999997
2.6 450 51 978.6300000000001
2.8000000000000003 597 58 974.6350000000008
3.0000000000000004 667 60 975.28
3.2000000000000006 867 67 973.6899999999996
3.400000000000001 1367 70 972.7700000000001
3.600000000000001 1187 75 938.9299999999995
3.800000000000001 1224 78 929.5300000000005
4.000000000000001 1865 83 915.9949999999998
1.2 18 27 918.7899999999997
1.4 36 30 897.3450000000004
1.5999999999999999 53 33 891.3849999999999
1.7999999999999998 90 37 884.8350000000005
1.9999999999999998 146 40 874.1500000000004
2.1999999999999997 220 44 863.3899999999988
2.4 315 49 854.5850000000008
2.6 376 51 848.5149999999999
2.8000000000000003 443 53 848.2150000000006
3.0000000000000004 551 58 839.25
3.2000000000000006 782 61 828.5600000000002
3.400000000000001 814 62 834.7900000000003
3.600000000000001 969 67 826.2500000000001
3.800000000000001 1201 72 812.4250000000003
4.000000000000001 1362 77 816.575
1.2 10 24 1039.335
1.4 40 27 1042.2350000000004
1.5999999999999999 49 30 1031.695
1.7999999999999998 114 31 1011.0650000000014
1.9999999999999998 112 34 998.080000000001
2.1999999999999997 203 38 983.4599999999997
2.4 267 40 975.1599999999997
2.6 392 45 935.7599999999996
2.8000000000000003 444 49 934.5149999999999
3.0000000000000004 455 52 929.2299999999997
3.2000000000000006 581 54 929.2600000000002
3.400000000000001 582 54 929.2600000000002
3.600000000000001 723 58 932.575
3.800000000000001 887 63 945.9149999999996
4.000000000000001 905 66 934.8399999999997
1.2 21 27 1052.785
1.4 36 31 1035.2500000000005
1.5999999999999999 70 34 1033.0150000000008
1.7999999999999998 129 39 1029.9250000000006
1.9999999999999998 229 43 967.2999999999997
2.1999999999999997 253 45 974.445
2.4 375 46 983.2299999999999
2.6 423 52 940.0649999999999
2.8000000000000003 487 54 934.1050000000007
3.0000000000000004 598 58 940.2950000000006
3.2000000000000006 677 60 934.7000000000005
3.400000000000001 868 64 923.7249999999999
3.600000000000001 1007 66 918.4099999999999
3.800000000000001 1734 69 903.36
4.000000000000001 1471 76 908.1199999999998
1.2 18 30 1002.7449999999999
1.4 44 33 987.059999999999
1.5999999999999999 85 39 962.9649999999997
1.7999999999999998 149 42 949.2949999999996
1.9999999999999998 175 44 941.3649999999988
2.1999999999999997 246 47 936.285
2.4 362 49 912.954999999999
2.6 618 56 908.3500000000005
2.8000000000000003 616 57 906.4149999999992
3.0000000000000004 814 64 894.5400000000003
3.2000000000000006 936 65 903.6999999999997
3.400000000000001 1306 69 894.2649999999994
3.600000000000001 1251 72 889.0000000000006
3.800000000000001 1460 82 886.8900000000006
4.000000000000001 1755 83 878.735000000001
1.2 13 24 944.2000000000011
1.4 24 26 929.3650000000005
1.5999999999999999 56 30 902.6849999999997
1.7999999999999998 113 34 894.6950000000002
1.9999999999999998 157 39 875.8349999999997
2.1999999999999997 310 44 877.8050000000007
2.4 394 46 860.3249999999991
2.6 422 47 858.7699999999995
2.8000000000000003 536 53 863.0399999999997
3.0000000000000004 624 57 848.3850000000008
3.2000000000000006 799 60 853.4649999999995
3.400000000000001 1217 65 844.8350000000012
3.600000000000001 1266 67 837.920000000001
3.800000000000001 1435 72 836.1100000000002
4.000000000000001 1548 74 839.4449999999996
1.2 17 25 825.6599999999996
1.4 70 30 812.6499999999995
1.5999999999999999 66 31 803.7549999999997
1.7999999999999998 130 35 795.3799999999998
1.9999999999999998 189 37 783.725
2.1999999999999997 275 41 800.8399999999996
2.4 319 42 791.0000000000003
2.6 334 43 786.78
2.8000000000000003 482 50 780.1100000000002
3.0000000000000004 573 52 781.1449999999993
3.2000000000000006 629 55 785.1199999999999
